text,label,text_minimal,text_no_punctuation,text_stopwords,text_stemming
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,"finnish talentum reports its operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net sales totaled eur 103.3 mn , up from eur 96.4 mn .",finnish talentum reports its operating profit increased to eur 20 5 mn in 2005 from eur 9 3 mn in 2004 and net sales totaled eur 103 3 mn up from eur 96 4 mn,finnish talentum reports operating profit increased eur 20 5 mn 2005 eur 9 3 mn 2004 net sales totaled eur 103 3 mn up eur 96 4 mn,finnish talentum report oper profit increas eur 20 5 mn 2005 eur 9 3 mn 2004 net sale total eur 103 3 mn up eur 96 4 mn
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,"clothing retail chain sepp+ñl+ñ 's sales increased by 8 % to eur 155.2 mn , and operating profit rose to eur 31.1 mn from eur 17.1 mn in 2004 .",clothing retail chain sepp ñl ñ s sales increased by 8 to eur 155 2 mn and operating profit rose to eur 31 1 mn from eur 17 1 mn in 2004,clothing retail chain sepp ñl ñ s sales increased 8 eur 155 2 mn operating profit rose eur 31 1 mn eur 17 1 mn 2004,cloth retail chain sepp ñl ñ s sale increas 8 eur 155 2 mn oper profit rose eur 31 1 mn eur 17 1 mn 2004
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,"consolidated net sales increased 16 % to reach eur74 .8 m , while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .",consolidated net sales increased 16 to reach eur74 8 m while operating profit amounted to eur0 9 m compared to a loss of eur0 7 m in the prior year period,consolidated net sales increased 16 reach eur74 8 m operating profit amounted eur0 9 m compared loss eur0 7 m prior year period,consolid net sale increas 16 reach eur74 8 m oper profit amount eur0 9 m compar loss eur0 7 m prior year period
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,"foundries division reports its sales increased by 9.7 % to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 % to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .",foundries division reports its sales increased by 9 7 to eur 63 1 mn from eur 57 5 mn in the corresponding period in 2006 and sales of the machine shop division increased by 16 4 to eur 41 2 mn from eur 35 4 mn in the corresponding period in 2006,foundries division reports sales increased 9 7 eur 63 1 mn eur 57 5 mn corresponding period 2006 sales machine shop division increased 16 4 eur 41 2 mn eur 35 4 mn corresponding period 2006,foundri divis report sale increas 9 7 eur 63 1 mn eur 57 5 mn correspond period 2006 sale machin shop divis increas 16 4 eur 41 2 mn eur 35 4 mn correspond period 2006
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,"helsinki ( afx ) - shares closed higher , led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets , and by nokian tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx shares closed higher led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets and by nokian tyres after its fourth quarter earnings report beat analysts expectations dealers said,helsinki afx shares closed higher led nokia announced plans team up sanyo manufacture 3g handsets nokian tyres fourth quarter earnings report beat analysts expectations dealers said,helsinki afx share close higher led nokia announc plan team up sanyo manufactur 3g handset nokian tyre fourth quarter earn report beat analyst expect dealer said
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing services pvt ltd a subsidiary of incap corporation of finland plans to double its revenues by 2007 2008,incap contract manufacturing services pvt subsidiary incap corporation finland plans double revenues 2007 2008,incap contract manufactur servic pvt subsidiari incap corpor finland plan doubl revenu 2007 2008
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,"its board of directors will propose a dividend of eur0 .12 per share for 2010 , up from the eur0 .08 per share paid in 2009 .",its board of directors will propose a dividend of eur0 12 per share for 2010 up from the eur0 08 per share paid in 2009,board directors propose dividend eur0 12 share 2010 up eur0 08 share paid 2009,board director propos dividend eur0 12 share 2010 up eur0 08 share paid 2009
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,"lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree was founded in 2000 and its revenues have risen on an average by 40 with margins in late 30s,lifetree founded 2000 revenues risen average 40 margins late 30s,lifetre found 2000 revenu risen averag 40 margin late 30
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive,"( filippova ) a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum , days of the russian economy , that opened in helsinki today .",filippova a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum days of the russian economy that opened in helsinki today,filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today,filippova trilater agreement invest construct technolog park st petersburg sign cours forum day russian economi open helsinki today
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,"megafon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of december 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to teliasonera estimates .",megafon s subscriber base increased 16 1 in 2009 to 50 5 million users as of december 31 while its market share by the number of customers amounted to 24 as of late 2009 up from 23 as of late 2008 according to teliasonera estimates,megafon s subscriber base increased 16 1 2009 50 5 million users december 31 market share number customers amounted 24 late 2009 up 23 late 2008 according teliasonera estimates,megafon s subscrib base increas 16 1 2009 50 5 million user decemb 31 market share number custom amount 24 late 2009 up 23 late 2008 accord teliasonera estim
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,"net income from life insurance doubled to eur 6.8 mn from eur 3.2 mn , and net income from non-life insurance rose to eur 5.2 mn from eur 1.5 mn in the corresponding period in 2009 .",net income from life insurance doubled to eur 6 8 mn from eur 3 2 mn and net income from non life insurance rose to eur 5 2 mn from eur 1 5 mn in the corresponding period in 2009,net income life insurance doubled eur 6 8 mn eur 3 2 mn net income non life insurance rose eur 5 2 mn eur 1 5 mn corresponding period 2009,net incom life insur doubl eur 6 8 mn eur 3 2 mn net incom non life insur rose eur 5 2 mn eur 1 5 mn correspond period 2009
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sales increased to eur193 .3 m from eur179 .9 m and pretax profit rose by 34.2 % to eur43 .1 m. ( eur1 = usd1 .4 ),net sales increased to eur193 3 m from eur179 9 m and pretax profit rose by 34 2 to eur43 1 m eur1 usd1 4,net sales increased eur193 3 m eur179 9 m pretax profit rose 34 2 eur43 1 m eur1 usd1 4,net sale increas eur193 3 m eur179 9 m pretax profit rose 34 2 eur43 1 m eur1 usd1 4
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,"net sales surged by 18.5 % to eur167 .8 m. teleste said that eur20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sales surged by 18 5 to eur167 8 m teleste said that eur20 4 m or 12 2 of the sales came from the acquisitions made in 2009,net sales surged 18 5 eur167 8 m teleste said eur20 4 m 12 2 sales came acquisitions 2009,net sale surg 18 5 eur167 8 m telest said eur20 4 m 12 2 sale came acquisit 2009
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,nordea group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group s operating profit increased in 2010 by 18 percent year on year to 3 64 billion euros and total revenue by 3 percent to 9 33 billion euros,nordea group s operating profit increased 2010 18 percent year year 3 64 billion euros total revenue 3 percent 9 33 billion euros,nordea group s oper profit increas 2010 18 percent year year 3 64 billion euro total revenu 3 percent 9 33 billion euro
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,"operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 .",operating profit for the nine month period increased from eur13 6 m while net sales increased from eur394 7 m as compared to the corresponding period in 2005,operating profit month period increased eur13 6 m net sales increased eur394 7 m compared corresponding period 2005,oper profit month period increas eur13 6 m net sale increas eur394 7 m compar correspond period 2005
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,"operating profit for the nine-month period increased from eur3 .1 m and net sales increased from eur61 .5 m , as compared to the corresponding period in 2007 .",operating profit for the nine month period increased from eur3 1 m and net sales increased from eur61 5 m as compared to the corresponding period in 2007,operating profit month period increased eur3 1 m net sales increased eur61 5 m compared corresponding period 2007,oper profit month period increas eur3 1 m net sale increas eur61 5 m compar correspond period 2007
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,"operating profit for the three-month period increased from eur1 .2 m , while revenue increased from eur20 .2 m , as compared to the corresponding period in 2005 .",operating profit for the three month period increased from eur1 2 m while revenue increased from eur20 2 m as compared to the corresponding period in 2005,operating profit month period increased eur1 2 m revenue increased eur20 2 m compared corresponding period 2005,oper profit month period increas eur1 2 m revenu increas eur20 2 m compar correspond period 2005
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"the brazilian unit of finnish security solutions provider f-secure signed up 1,500 new clients last year , online news source reseller web quoted the division 's commercial director , vladimir brand+úo , as saying .",the brazilian unit of finnish security solutions provider f secure signed up 1 500 new clients last year online news source reseller web quoted the division s commercial director vladimir brand úo as saying,brazilian unit finnish security solutions provider f secure signed up 1 500 new clients year online news source reseller web quoted division s commercial director vladimir brand úo saying,brazilian unit finnish secur solut provid f secur sign up 1 500 new client year onlin news sourc resel web quot divis s commerci director vladimir brand úo say
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,"the company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",the company s net profit rose 11 4 on the year to 82 2 million euros in 2005 on sales of 686 5 million euros 13 8 up on the year the company said earlier,company s net profit rose 11 4 year 82 2 million euros 2005 sales 686 5 million euros 13 8 up year company said earlier,compani s net profit rose 11 4 year 82 2 million euro 2005 sale 686 5 million euro 13 8 up year compani said earlier
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,"the lithuanian beer market made up 14.41 million liters in january , a rise of 0.8 percent from the year-earlier figure , the lithuanian brewers ' association reporting citing the results from its members .",the lithuanian beer market made up 14 41 million liters in january a rise of 0 8 percent from the year earlier figure the lithuanian brewers association reporting citing the results from its members,lithuanian beer market up 14 41 million liters january rise 0 8 percent year earlier figure lithuanian brewers association reporting citing results members,lithuanian beer market up 14 41 million liter januari rise 0 8 percent year earlier figur lithuanian brewer associ report cite result member
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,"viking line 's cargo revenue increased by 5.4 % to eur 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line s cargo revenue increased by 5 4 to eur 21 46 mn and cargo volume increased by 2 4 to 70 116 cargo units,viking line s cargo revenue increased 5 4 eur 21 46 mn cargo volume increased 2 4 70 116 cargo units,vike line s cargo revenu increas 5 4 eur 21 46 mn cargo volum increas 2 4 70 116 cargo unit
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,"the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2,686.2 1,259.7 million .",the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2 686 2 1 259 7 million,fair value property portfolio doubled result kapiteeli acquisition totalled eur 2 686 2 1 259 7 million,fair valu properti portfolio doubl result kapite acquisit total eur 2 686 2 1 259 7 million
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,10 february 2011 - finnish media company sanoma oyj hel : saa1v said yesterday its 2010 net profit almost tripled to eur297 .3 m from eur107 .1 m for 2009 and announced a proposal for a raised payout .,10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday its 2010 net profit almost tripled to eur297 3 m from eur107 1 m for 2009 and announced a proposal for a raised payout,10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday 2010 net profit tripled eur297 3 m eur107 1 m 2009 announced proposal raised payout,10 februari 2011 finnish media compani sanoma oyj hel saa1v said yesterday 2010 net profit tripl eur297 3 m eur107 1 m 2009 announc propos rais payout
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,"a helsinki : eliiv today reported eps of eur1 .13 for 2009 , an increase over eps of eur1 .12 in 2008 .",a helsinki eliiv today reported eps of eur1 13 for 2009 an increase over eps of eur1 12 in 2008,helsinki eliiv today reported eps eur1 13 2009 increase eps eur1 12 2008,helsinki eliiv today report ep eur1 13 2009 increas ep eur1 12 2008
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,"aspo plc stock exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part of aspo group , has signed a new , long-term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea .",aspo plc stock exchange release february 11 2011 at8 45 a m esl shipping ltd part of aspo group has signed a new long term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea,aspo plc stock exchange release february 11 2011 at8 45 m esl shipping aspo group signed new long term contract rautaruukki corporation marine transport raw materials baltic sea,aspo plc stock exchang releas februari 11 2011 at8 45 m esl ship aspo group sign new long term contract rautaruukki corpor marin transport raw materi baltic sea
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,"commission income increased by 22 % to eur 4.4 mn , and lending volume rose by 13.5 % .",commission income increased by 22 to eur 4 4 mn and lending volume rose by 13 5,commission income increased 22 eur 4 4 mn lending volume rose 13 5,commiss incom increas 22 eur 4 4 mn lend volum rose 13 5
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,"in january , traffic , measured in revenue passenger kilometres rpk , went up by 3.2 % and capacity , measured in available seat kilometres ask , rose by 12.2 % .",in january traffic measured in revenue passenger kilometres rpk went up by 3 2 and capacity measured in available seat kilometres ask rose by 12 2,january traffic measured revenue passenger kilometres rpk went up 3 2 capacity measured available seat kilometres ask rose 12 2,januari traffic measur revenu passeng kilometr rpk went up 3 2 capac measur avail seat kilometr ask rose 12 2
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,"in january-september 2010 , fiskars ' net profit went up by 14 % year-on-year to eur 65.4 million and net sales to eur 525.3 million from eur 487.7 million .",in january september 2010 fiskars net profit went up by 14 year on year to eur 65 4 million and net sales to eur 525 3 million from eur 487 7 million,january september 2010 fiskars net profit went up 14 year year eur 65 4 million net sales eur 525 3 million eur 487 7 million,januari septemb 2010 fiskar net profit went up 14 year year eur 65 4 million net sale eur 525 3 million eur 487 7 million
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,"net income from life insurance rose to eur 16.5 mn from eur 14.0 mn , and net income from non-life insurance to eur 22.6 mn from eur 15.2 mn in 2009 .",net income from life insurance rose to eur 16 5 mn from eur 14 0 mn and net income from non life insurance to eur 22 6 mn from eur 15 2 mn in 2009,net income life insurance rose eur 16 5 mn eur 14 0 mn net income non life insurance eur 22 6 mn eur 15 2 mn 2009,net incom life insur rose eur 16 5 mn eur 14 0 mn net incom non life insur eur 22 6 mn eur 15 2 mn 2009
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,"nyrstar has also agreed to supply to talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar has also agreed to supply to talvivaara up to 150 000 tonnes of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate,nyrstar agreed supply talvivaara up 150 000 tonnes sulphuric acid annum use talvivaara s leaching process period supply zinc concentrate,nyrstar agre suppli talvivaara up 150 000 tonn sulphur acid annum use talvivaara s leach process period suppli zinc concentr
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",positive,"sales for both the department store division and hobby hall increased by 7 % , while sales for the clothing store subsidiary seppala decreased by 4 % .",sales for both the department store division and hobby hall increased by 7 while sales for the clothing store subsidiary seppala decreased by 4,sales department store division hobby hall increased 7 sales clothing store subsidiary seppala decreased 4,sale depart store divis hobbi hall increas 7 sale cloth store subsidiari seppala decreas 4
Sales have risen in other export markets .,positive,sales have risen in other export markets .,sales have risen in other export markets,sales risen export markets,sale risen export market
Sales increased due to growing market rates and increased operations .,positive,sales increased due to growing market rates and increased operations .,sales increased due to growing market rates and increased operations,sales increased growing market rates increased operations,sale increas grow market rate increas oper
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,the agreement strengthens our long-term partnership with nokia siemens networks .,the agreement strengthens our long term partnership with nokia siemens networks,agreement strengthens long term partnership nokia siemens networks,agreement strengthen long term partnership nokia siemen network
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,"the agreement was signed with biohit healthcare ltd , the uk-based subsidiary of biohit oyj , a finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",the agreement was signed with biohit healthcare ltd the uk based subsidiary of biohit oyj a finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems,agreement signed biohit healthcare uk based subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems,agreement sign biohit healthcar uk base subsidiari biohit oyj finnish public compani develop manufactur market liquid handl product diagnost test system
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141 7 million,company estimates carried investments lead increase net sales 2010 2009 reached eur 141 7 million,compani estim carri invest lead increas net sale 2010 2009 reach eur 141 7 million
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,"the company 's order book stood at 1.5 bln euro $ 2.2 bln on september 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",the company s order book stood at 1 5 bln euro 2 2 bln on september 30 2007 up by 24 2 pct on the year with international orders amounting to 365 mln euro 534 3 mln,company s order book stood 1 5 bln euro 2 2 bln september 30 2007 up 24 2 pct year international orders amounting 365 mln euro 534 3 mln,compani s order book stood 1 5 bln euro 2 2 bln septemb 30 2007 up 24 2 pct year intern order amount 365 mln euro 534 3 mln
